Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
1,11.0,65.0,3.0,81.63,1.0,16,3.0,108.0,1.0,74.0,774.0,40.0,3.0,66.0,30,410.0,0.0,35.73667711598746
1,34.0,29.0,8.0,73.57,4.5,217,14.0,46.0,6.0,130.0,144.0,20.0,4.0,93.0,41,799.0,0.0,4.540023894862605
1,184.0,5.0,12.0,37.28,2.0,40,34.0,188.0,1.0,163.0,1635.0,59.0,5.0,108.0,276,698.0,0.0,18.17116060961313
1,21.0,17.0,6.0,53.6,1.0,9,9.0,103.0,1.0,36.0,183.0,26.0,4.0,30.0,14,310.0,0.0,0.9584664536741214
0,38.0,10.0,6.0,52.14,2.5,1,10.0,19.0,6.0,74.0,55.0,14.0,2.0,31.0,31,276.0,0.0,14.285714285714285
1,16.0,30.0,4.0,83.39,2.0,2,8.0,53.0,6.0,78.0,94.0,17.0,6.0,38.0,14,347.0,0.0,12.814070351758794
0,28.0,6.0,9.0,58.56,1.0,4,6.0,27.0,6.0,37.0,178.0,21.0,2.0,15.0,59,157.0,0.0,8.187134502923977
0,2.0,88.0,1.0,100.0,1.0,0,8.0,8.0,6.0,36.0,1.0,3.0,3.0,21.0,0,125.0,0.0,18.83116883116883
0,7.0,28.0,1.0,100.0,6.0,0,3.0,13.0,6.0,52.0,53.0,11.0,0.0,15.0,2,131.0,0.0,21.55688622754491
0,11.0,25.0,4.0,45.4,4.0,0,5.0,12.0,6.0,40.0,9.0,6.0,1.0,20.0,59,198.0,0.0,17.154811715481173
0,10.0,68.0,5.0,58.13,3.5,1,4.0,48.0,7.0,33.0,0.0,30.0,2.0,29.0,21,341.0,0.0,43.355481727574755
0,2.0,74.0,2.0,98.67,1.0,0,5.0,6.0,6.0,37.0,8.0,5.0,1.0,7.0,0,90.0,0.0,29.133858267716533
1,37.0,10.0,11.0,46.66,2.0,1,12.0,33.0,4.0,49.0,20.0,8.0,3.0,60.0,22,238.0,0.0,17.36111111111111
1,52.0,6.0,9.0,44.24,2.0,281,9.0,41.0,2.0,41.0,180.0,20.0,2.0,19.0,35,185.0,0.0,22.916666666666664
1,54.0,7.0,11.0,42.13,2.0,21,16.0,60.0,2.0,50.0,28.0,8.0,4.0,36.0,189,276.0,6.884057971014493,20.23121387283237
0,5.0,18.0,2.0,96.36,1.0,0,0.0,13.0,6.0,8.0,7.0,7.0,2.0,7.0,1,58.0,0.0,21.62162162162162
0,7.0,17.0,2.0,97.97,3.0,0,4.0,5.0,6.0,32.0,0.0,5.0,0.0,9.0,3,93.0,0.0,0.0
0,13.0,11.0,5.0,55.0,1.0,0,1.0,13.0,6.0,23.0,1.0,6.0,2.0,6.0,1,90.0,0.0,26.82926829268293
1,45.0,13.0,12.0,53.3,2.0,3,12.0,92.0,4.0,59.0,244.0,29.0,3.0,72.0,132,381.0,0.0,17.17391304347826
1,50.0,6.0,8.0,34.47,2.0,281,9.0,52.0,1.0,53.0,406.0,29.0,9.0,23.0,16,186.0,0.0,25.89641434262948
0,16.0,19.0,5.0,48.75,3.0,4,13.0,54.0,1.0,55.0,8.0,5.0,5.0,28.0,319,201.0,0.0,25.555555555555554
1,190.0,5.0,26.0,52.25,3.0,15,23.0,108.0,1.0,154.0,0.0,23.0,3.0,66.0,165,525.0,0.0,27.28531855955679
0,3.0,118.0,2.0,98.89,1.0,4,2.0,35.0,1.0,21.0,13.0,10.0,6.0,13.0,1,171.0,0.0,48.338368580060425
